priority,request,value,latency_ns
0,604,2604,5365212
1,605,2605,5542244
2,606,2606,5813188
3,607,2607,5711818
0,608,2608,5940640
1,609,2609,5277716
2,610,2610,5013190
3,611,2611,8389633
0,612,2612,7343189
1,613,2613,4874655
2,614,2614,6623811
3,615,2615,5321006
0,616,2616,5561952
1,617,2617,16110219
2,618,2618,4309436
3,619,2619,5633239
0,620,2620,6332535
1,621,2621,5305424
2,622,2622,6314411
3,623,2623,4473927
0,624,2624,4528757
1,625,2625,5928973
2,626,2626,10066544
3,627,2627,5398752
0,628,2628,5499372
1,629,2629,7154491
2,630,2630,6908046
3,631,2631,5767691
0,632,2632,4787451
1,633,2633,5601450
2,634,2634,4388473
